sku_id,referencia_id,categoria,talla,color,precio_venta,costo,temporada,es_nuevo
SKU000001,REF0001,Camiseta,XS,Blanco,51000,23000,FW22,False
SKU000002,REF0001,Camiseta,XS,Negro,46000,21000,FW22,True
SKU000003,REF0001,Camiseta,XS,Azul,45000,20000,FW22,False
SKU000004,REF0001,Camiseta,XS,Rojo,48000,22000,FW22,False
SKU000005,REF0001,Camiseta,S,Blanco,44000,20000,FW22,False
SKU000006,REF0001,Camiseta,S,Negro,45000,20000,FW22,False
SKU000007,REF0001,Camiseta,S,Azul,50000,23000,FW22,False
SKU000008,REF0001,Camiseta,S,Rojo,43000,19000,FW22,True
SKU000009,REF0001,Camiseta,M,Blanco,41000,18000,FW22,False
SKU000010,REF0001,Camiseta,M,Negro,42000,19000,FW22,False
SKU000011,REF0001,Camiseta,M,Azul,43000,19000,FW22,False
SKU000012,REF0001,Camiseta,M,Rojo,46000,21000,FW22,False
SKU000013,REF0001,Camiseta,L,Blanco,48000,22000,FW22,True
SKU000014,REF0001,Camiseta,L,Negro,47000,21000,FW22,False
SKU000015,REF0001,Camiseta,L,Azul,43000,19000,FW22,False
SKU000016,REF0001,Camiseta,L,Rojo,47000,21000,FW22,False
SKU000017,REF0001,Camiseta,XL,Blanco,50000,23000,FW22,False
SKU000018,REF0001,Camiseta,XL,Negro,44000,20000,FW22,True
SKU000019,REF0001,Camiseta,XL,Azul,46000,21000,FW22,True
SKU000020,REF0001,Camiseta,XL,Rojo,45000,20000,FW22,False
SKU000021,REF0002,Camiseta,XS,Blanco,44000,20000,SS24,True
SKU000022,REF0002,Camiseta,XS,Negro,45000,20000,SS24,False
SKU000023,REF0002,Camiseta,XS,Azul,44000,20000,SS24,False
SKU000024,REF0002,Camiseta,XS,Rojo,41000,18000,SS24,False
SKU000025,REF0002,Camiseta,S,Blanco,44000,20000,SS24,True
SKU000026,REF0002,Camiseta,S,Negro,47000,21000,SS24,False
SKU000027,REF0002,Camiseta,S,Azul,48000,22000,SS24,True
SKU000028,REF0002,Camiseta,S,Rojo,43000,19000,SS24,True
SKU000029,REF0002,Camiseta,M,Blanco,43000,19000,SS24,False
SKU000030,REF0002,Camiseta,M,Negro,45000,20000,SS24,True
SKU000031,REF0002,Camiseta,M,Azul,43000,20000,SS24,True
SKU000032,REF0002,Camiseta,M,Rojo,48000,22000,SS24,False
SKU000033,REF0002,Camiseta,L,Blanco,42000,19000,SS24,False
SKU000034,REF0002,Camiseta,L,Negro,44000,20000,SS24,False
SKU000035,REF0002,Camiseta,L,Azul,45000,20000,SS24,True
SKU000036,REF0002,Camiseta,L,Rojo,44000,20000,SS24,False
SKU000037,REF0002,Camiseta,XL,Blanco,48000,22000,SS24,False
SKU000038,REF0002,Camiseta,XL,Negro,46000,20000,SS24,False
SKU000039,REF0002,Camiseta,XL,Azul,47000,21000,SS24,True
SKU000040,REF0002,Camiseta,XL,Rojo,45000,20000,SS24,True
SKU000041,REF0003,Camiseta,XS,Blanco,50000,22000,FW23,False
SKU000042,REF0003,Camiseta,XS,Negro,52000,23000,FW23,False
SKU000043,REF0003,Camiseta,XS,Azul,50000,22000,FW23,False
SKU000044,REF0003,Camiseta,XS,Rojo,42000,19000,FW23,False
SKU000045,REF0003,Camiseta,S,Blanco,48000,22000,FW23,False
SKU000046,REF0003,Camiseta,S,Negro,44000,20000,FW23,True
SKU000047,REF0003,Camiseta,S,Azul,49000,22000,FW23,False
SKU000048,REF0003,Camiseta,S,Rojo,44000,20000,FW23,True
SKU000049,REF0003,Camiseta,M,Blanco,51000,23000,FW23,False
SKU000050,REF0003,Camiseta,M,Negro,46000,21000,FW23,False
SKU000051,REF0003,Camiseta,M,Azul,48000,22000,FW23,False
SKU000052,REF0003,Camiseta,M,Rojo,43000,19000,FW23,False
SKU000053,REF0003,Camiseta,L,Blanco,48000,22000,FW23,True
SKU000054,REF0003,Camiseta,L,Negro,42000,19000,FW23,False
SKU000055,REF0003,Camiseta,L,Azul,46000,21000,FW23,True
SKU000056,REF0003,Camiseta,L,Rojo,52000,23000,FW23,False
SKU000057,REF0003,Camiseta,XL,Blanco,47000,21000,FW23,False
SKU000058,REF0003,Camiseta,XL,Negro,43000,19000,FW23,True
SKU000059,REF0003,Camiseta,XL,Azul,48000,22000,FW23,False
SKU000060,REF0003,Camiseta,XL,Rojo,50000,23000,FW23,False
SKU000061,REF0004,Camiseta,XS,Blanco,50000,23000,SS22,False
SKU000062,REF0004,Camiseta,XS,Negro,51000,23000,SS22,False
SKU000063,REF0004,Camiseta,XS,Azul,48000,22000,SS22,False
SKU000064,REF0004,Camiseta,XS,Rojo,45000,20000,SS22,False
SKU000065,REF0004,Camiseta,S,Blanco,51000,23000,SS22,True
SKU000066,REF0004,Camiseta,S,Negro,44000,20000,SS22,False
SKU000067,REF0004,Camiseta,S,Azul,46000,20000,SS22,False
SKU000068,REF0004,Camiseta,S,Rojo,42000,19000,SS22,True
SKU000069,REF0004,Camiseta,M,Blanco,46000,21000,SS22,True
SKU000070,REF0004,Camiseta,M,Negro,45000,20000,SS22,False
SKU000071,REF0004,Camiseta,M,Azul,49000,22000,SS22,False
SKU000072,REF0004,Camiseta,M,Rojo,47000,21000,SS22,False
SKU000073,REF0004,Camiseta,L,Blanco,48000,21000,SS22,True
SKU000074,REF0004,Camiseta,L,Negro,47000,21000,SS22,False
SKU000075,REF0004,Camiseta,L,Azul,46000,21000,SS22,False
SKU000076,REF0004,Camiseta,L,Rojo,45000,20000,SS22,False
SKU000077,REF0004,Camiseta,XL,Blanco,48000,21000,SS22,False
SKU000078,REF0004,Camiseta,XL,Negro,50000,23000,SS22,True
SKU000079,REF0004,Camiseta,XL,Azul,46000,21000,SS22,False
SKU000080,REF0004,Camiseta,XL,Rojo,49000,22000,SS22,True
SKU000081,REF0005,Camiseta,XS,Blanco,52000,23000,SS22,False
SKU000082,REF0005,Camiseta,XS,Negro,44000,20000,SS22,False
SKU000083,REF0005,Camiseta,XS,Azul,49000,22000,SS22,False
SKU000084,REF0005,Camiseta,XS,Rojo,44000,20000,SS22,False
SKU000085,REF0005,Camiseta,S,Blanco,47000,21000,SS22,False
SKU000086,REF0005,Camiseta,S,Negro,41000,19000,SS22,False
SKU000087,REF0005,Camiseta,S,Azul,43000,19000,SS22,True
SKU000088,REF0005,Camiseta,S,Rojo,46000,21000,SS22,False
SKU000089,REF0005,Camiseta,M,Blanco,45000,20000,SS22,False
SKU000090,REF0005,Camiseta,M,Negro,51000,23000,SS22,True
SKU000091,REF0005,Camiseta,M,Azul,43000,19000,SS22,False
